vhash,dport,packet_size,n_srcip,n_dstip,ratio,cluster_id
f3bb97895ed0b4f5cc43e3b2bae17bf1,1521,129,7,44,6.285714285714286,2
462983b32acdb45ede72f3bdaa23f469,1599,79,6,42,7.0,2
bd0c3f8186b70273efab970c0eec647d,6666,43,6,41,6.833333333333333,2
fb358db24237b645fedeae52055dd892,9600,60,7,33,4.714285714285714,2
bea33c63772975faf21db517b40761a6,1515,176,6,45,7.5,2
f1d3ff8443297732862df21dc4e57262,3299,44,6,37,6.166666666666667,2
f970039a853c5f5148ad4edda399a200,6001,52,6,70,11.666666666666666,2
3cb4202ad21767c8b588d74f805e66a1,20000,1050,7,46,6.571428571428571,2
7e0de761f1e6b89d75f3f4db14d8bfdf,2628,110,7,54,7.714285714285714,2
b3fff84dc42d5f9fc0cb1f906cb97d30,789,46,7,34,4.857142857142857,2
c0e87fc8292867faf44e1974e175ee19,62078,340,7,44,6.285714285714286,2
012a055e73cacefea33df0dec0c8ea7d,111,84,7,48,6.857142857142857,2
2c600ebd085798e5119277c8b49b77de,9160,73,7,49,7.0,2
81051bcc2cf1bedf378224b0a93e2877,9042,42,7,137,19.571428571428573,2
348a9791dc41b89796ec3808b5b5262f,3460,296,7,49,7.0,2
2e5d15aa013f61e95bab308d37457d92,3388,76,7,83,11.857142857142858,2
12f91a0cc1cfda6a938d9f06ebd16297,10001,47,6,34,5.666666666666667,2
d5fb69671662f02d531d88117ed9f5a6,9100,57,7,41,5.857142857142857,2
5d87b0c4e1cb02199a07c7de3def7e94,389,54,6,33,5.5,2
12aaca181e743ebe557f91bcda305a9a,54138,50,6,36,6.0,2
5bd6c5407dac22df5c620bd4c3f79eb6,8087,45,7,40,5.714285714285714,2
c74987220d5dbefacbc4bd6b55204083,444,59,7,93,13.285714285714286,2
3719d2fa5467a3f468d6632bc84d2951,5577,44,7,53,7.571428571428571,2
7fc15db6b612d0a573ff4dd640af947f,771,46,7,46,6.571428571428571,2
75f451c8ed5df0ce3a01743e20cf6a41,9151,56,7,89,12.714285714285714,2
e3c4dd21a9171fd39d208efa09bf7883,18245,96,7,46,6.571428571428571,2
485fce84c14ebef1fb345fdebe2cb255,1010,157,7,173,24.714285714285715,2
f18ea4f9212026c66487d6fb6638483a,5222,184,7,74,10.571428571428571,2
fe0d822e0f469f463b65096735be5d53,1200,47,7,91,13.0,2
ba769e51349a49a53691de456314f4e6,1200,47,7,91,13.0,2
965637918a762daf0c82d8f4ca2842c0,1200,54,7,90,12.857142857142858,2
ad719b27a03221f3445e671f6ea0c3d3,81,62,7,77,11.0,2
81051bcc2cf1bedf378224b0a93e2877,70,42,7,137,19.571428571428573,2
3af6051d92c0ae983449c52b9399767d,2081,42,6,45,7.5,2
75f451c8ed5df0ce3a01743e20cf6a41,9051,56,7,89,12.714285714285714,2
33e7ecd6e4962c194b6fa1bb0ababb19,1723,196,7,48,6.857142857142857,2
2e231f78363ddbd7a27c6d1135dfff3e,1911,553,6,39,6.5,2
81051bcc2cf1bedf378224b0a93e2877,79,42,7,137,19.571428571428573,2
b8347e105de8b7bb11ca0e518f0e1e08,4730,49,6,53,8.833333333333334,2
09a6d2bcc28389495f7392b2172c576c,37777,72,7,37,5.285714285714286,2
653b95ed8ab7aa491801db6c2a07e893,175,73,7,43,6.142857142857143,2
ad719b27a03221f3445e671f6ea0c3d3,82,62,7,77,11.0,2
393ab6bb2627b64d5cca62c712bfd329,1099,47,7,40,5.714285714285714,2
cbbd91cefdd9cc19144350d805cde8da,5432,48,7,41,5.857142857142857,2
395e69ca175318cf7d59c51d8dc3e904,1025,49,7,40,5.714285714285714,2
6afc55b73d42ed5b29e4b44e775d0da0,502,48,7,97,13.857142857142858,2
485fce84c14ebef1fb345fdebe2cb255,4000,157,7,173,24.714285714285715,2
485fce84c14ebef1fb345fdebe2cb255,1991,157,7,173,24.714285714285715,2
52113d8a3609b712acfed33d1bc19ca1,2404,46,7,42,6.0,2
496fcf5c929793a7feababfeb9b00e47,2222,64,3,85,28.333333333333332,2
365fc0b288d0c1c4b8e7fa8951abe47a,22,64,3,37,12.333333333333334,2
0c94d7ef68318ee46d03aa2a024cee3c,3310,48,6,47,7.833333333333333,2
f970039a853c5f5148ad4edda399a200,6000,52,6,70,11.666666666666666,2
99668e9e50e0ce3b9170890271e3cefc,1962,66,6,38,6.333333333333333,2
58f39582c70a6358a5bba274016dc59f,5009,168,7,50,7.142857142857143,2
6afc55b73d42ed5b29e4b44e775d0da0,503,48,7,97,13.857142857142858,2
bf607fe3bf379733d1dc0f83cd6cf724,515,49,7,44,6.285714285714286,2
5f1bd6af1797d8ae2fa8d9f3b44d17a6,5672,48,7,37,5.285714285714286,2
cea8cdfa42028b08f4e485ffe27fe522,53,83,7,43,6.142857142857143,2
f06e1742749944c1cd51aed74fde6a27,6379,54,7,38,5.428571428571429,2
7db3732ad9e47054a40979aca87f8963,11300,47,7,74,10.571428571428571,2
365fc0b288d0c1c4b8e7fa8951abe47a,26,64,3,37,12.333333333333334,2
85f47a40ee2218e5e302c1573d345a31,21379,100,7,38,5.428571428571429,2
3302c951c0a409a40c7c057799d316e1,179,69,7,45,6.428571428571429,2
7c1c3a8cca600ca8ff25abff8ed5184b,2181,45,7,51,7.285714285714286,2
fe0d822e0f469f463b65096735be5d53,2455,47,7,91,13.0,2
7db3732ad9e47054a40979aca87f8963,11211,47,7,74,10.571428571428571,2
25daad3d9e60b45043a70c4ab7d3b1c6,25565,42,7,34,4.857142857142857,2
0ccf9aa95572e15304a4519fb510c299,3260,184,6,37,6.166666666666667,2
beb5fa850aa6ac0d45da02d7a6e9cdc5,2222,68,7,39,5.571428571428571,2
d6458a37b7cb444ee3a7ad8a10b4a027,20547,50,7,34,4.857142857142857,2
2e5d15aa013f61e95bab308d37457d92,3389,76,7,83,11.857142857142858,2
496fcf5c929793a7feababfeb9b00e47,26,64,3,85,28.333333333333332,2
ebecbcbe3ab9c21425592c232ec43e89,5938,49,7,36,5.142857142857143,2
0eb2cca743ba70133ebf6ec4fb79d223,1777,97,7,34,4.857142857142857,2
c74987220d5dbefacbc4bd6b55204083,195,59,7,93,13.285714285714286,2
c13efebc6c9c17766dfef9e2f26977d9,6666,240,6,37,6.166666666666667,2
f18ea4f9212026c66487d6fb6638483a,5269,184,7,74,10.571428571428571,2
724c1ccf84893ed24db2449b1a6d4a55,2000,52,7,41,5.857142857142857,2
485fce84c14ebef1fb345fdebe2cb255,1177,157,7,173,24.714285714285715,2
646176042e218efe0275347b620b1059,8126,46,6,45,7.5,2
365fc0b288d0c1c4b8e7fa8951abe47a,2222,64,3,37,12.333333333333334,2
496fcf5c929793a7feababfeb9b00e47,22,64,3,85,28.333333333333332,2
ba769e51349a49a53691de456314f4e6,2455,47,7,91,13.0,2
965637918a762daf0c82d8f4ca2842c0,2455,54,7,90,12.857142857142858,2
02aca8288b248128fd2950fb9c19fc51,104,302,6,41,6.833333333333333,2
22a00e97251e4123dcce72d18f2524b2,445,128,2,77,38.5,2
a2ab7058d5e30d7166db618c105a2622,445,177,2,75,37.5,2
